filename,mean,std,laplacian_variance,hist_1,hist_2,hist_3,hist_4,hist_5,hist_6,hist_7,hist_8,label
tile-01-001.jpg,0.7007,0.1368,0.0062,0.9370,0.2937,0.1460,0.0775,0.0595,0.0577,0.0378,0.0126,white
tile-01-002.jpg,0.5569,0.0562,0.0057,0.9521,0.2635,0.0632,0.0861,0.0790,0.0545,0.0457,0.0369,clear
tile-01-003.jpg,0.5722,0.0563,0.0062,0.9717,0.1895,0.0761,0.0632,0.0696,0.0713,0.0130,0.0032,clear
tile-01-004.jpg,0.5750,0.0572,0.0055,0.9790,0.1343,0.0777,0.0890,0.0583,0.0696,0.0324,0.0162,clear
tile-01-005.jpg,0.6013,0.0576,0.0065,0.9516,0.2591,0.1405,0.0508,0.0542,0.0406,0.0186,0.0085,clear
tile-01-006.jpg,0.6015,0.0578,0.0056,0.9827,0.1321,0.0783,0.0783,0.0537,0.0369,0.0154,0.0046,clear
tile-01-007.jpg,0.6173,0.0736,0.0078,0.9803,0.1441,0.0893,0.0532,0.0767,0.0313,0.0235,0.0110,clear
tile-01-008.jpg,0.2736,0.2117,0.0116,0.9059,0.3149,0.1820,0.1452,0.1084,0.1022,0.0552,0.0266,black
tile-01-009.jpg,0.6041,0.0565,0.0085,0.9884,0.0943,0.1028,0.0543,0.0129,0.0171,0.0086,0.0071,clear
tile-01-010.jpg,0.6268,0.0706,0.0045,0.9508,0.2512,0.0994,0.0940,0.0578,0.0705,0.0687,0.0343,clear
tile-01-011.jpg,0.6284,0.0591,0.0054,0.9878,0.1121,0.0418,0.0643,0.0478,0.0389,0.0433,0.0090,clear
tile-01-012.jpg,0.5731,0.1436,0.0065,0.9477,0.1817,0.0824,0.1742,0.1030,0.1348,0.0543,0.0075,clear
tile-01-013.jpg,0.2858,0.2077,0.0131,0.9227,0.3208,0.1510,0.1000,0.0811,0.0698,0.0283,0.0245,black
tile-01-014.jpg,0.7730,0.1267,0.0094,0.9313,0.2949,0.1859,0.0822,0.0483,0.0358,0.0268,0.0036,white
tile-01-015.jpg,0.6280,0.0781,0.0101,0.9513,0.2624,0.1209,0.0587,0.0552,0.0639,0.0293,0.0121,clear
tile-01-016.jpg,0.7518,0.1363,0.0051,0.9450,0.2606,0.1489,0.1028,0.0656,0.0390,0.0160,0.0177,white
tile-01-017.jpg,0.5904,0.1156,0.0047,0.9157,0.3251,0.1231,0.1693,0.0846,0.0539,0.0404,0.0192,clear
tile-01-018.jpg,0.2793,0.2081,0.0130,0.8338,0.4644,0.2301,0.1414,0.0844,0.0844,0.0380,0.0232,black
tile-01-019.jpg,0.6007,0.0423,0.0030,0.9532,0.2889,0.0754,0.0314,0.0141,0.0283,0.0094,0.0126,clear
tile-01-020.jpg,0.5420,0.0624,0.0060,0.9761,0.1864,0.0632,0.0505,0.0379,0.0553,0.0269,0.0253,clear
tile-01-021.jpg,0.5701,0.0681,0.0089,0.9588,0.1995,0.0918,0.1042,0.1218,0.0777,0.0212,0.0141,clear
tile-01-022.jpg,0.7054,0.1699,0.0163,0.9563,0.2465,0.1307,0.0728,0.0397,0.0232,0.0066,0.0132,white
tile-01-023.jpg,0.2201,0.1678,0.0102,0.8573,0.4564,0.2014,0.1093,0.0575,0.0288,0.0077,0.0077,black
tile-01-024.jpg,0.7318,0.1385,0.0117,0.9455,0.2706,0.1318,0.0861,0.0773,0.0369,0.0246,0.0088,white
tile-01-025.jpg,0.6214,0.0650,0.0065,0.9773,0.1490,0.0949,0.0737,0.0458,0.0540,0.0475,0.0311,clear
tile-01-026.jpg,0.6305,0.0728,0.0122,0.9684,0.2109,0.0811,0.0844,0.0178,0.0406,0.0422,0.0146,clear
tile-01-027.jpg,0.6124,0.0762,0.0076,0.9360,0.2856,0.1400,0.1032,0.0424,0.0498,0.0866,0.0147,clear
tile-01-028.jpg,0.6133,0.0699,0.0070,0.9565,0.2242,0.1209,0.0929,0.0946,0.0280,0.0280,0.0315,clear
tile-01-029.jpg,0.6268,0.0713,0.0061,0.9012,0.3579,0.1911,0.1162,0.0974,0.0112,0.0019,0.0094,clear
tile-01-030.jpg,0.6048,0.0640,0.0096,0.9699,0.1540,0.0897,0.0965,0.1202,0.0508,0.0339,0.0085,clear
tile-01-031.jpg,0.5646,0.1299,0.0094,0.9045,0.2865,0.1780,0.1842,0.1657,0.0716,0.0389,0.0123,clear
tile-01-032.jpg,0.2850,0.2176,0.0144,0.8872,0.3825,0.1882,0.1302,0.0901,0.0641,0.0401,0.0200,black
tile-01-033.jpg,0.7593,0.1536,0.0104,0.9325,0.2851,0.1901,0.0933,0.0430,0.0466,0.0108,0.0126,white
tile-01-034.jpg,0.7607,0.1200,0.0071,0.9021,0.3601,0.1762,0.1402,0.0663,0.0322,0.0152,0.0133,white
tile-01-035.jpg,0.7477,0.1501,0.0117,0.9129,0.3277,0.1913,0.1250,0.0625,0.0473,0.0284,0.0095,white
tile-01-036.jpg,0.6070,0.0890,0.0094,0.9614,0.2078,0.1250,0.0710,0.1031,0.0338,0.0084,0.0101,clear
tile-01-037.jpg,0.2459,0.1955,0.0170,0.9191,0.3233,0.1798,0.1163,0.0654,0.0236,0.0036,0.0036,black
tile-01-038.jpg,0.6102,0.0603,0.0066,0.9784,0.1783,0.0823,0.0274,0.0457,0.0122,0.0259,0.0213,clear
tile-01-039.jpg,0.5713,0.0606,0.0087,0.9884,0.1206,0.0480,0.0392,0.0610,0.0218,0.0160,0.0131,clear
tile-01-040.jpg,0.5817,0.0694,0.0095,0.9773,0.1642,0.0602,0.0423,0.0667,0.0634,0.0407,0.0488,clear
tile-01-041.jpg,0.7044,0.1422,0.0051,0.8799,0.4167,0.1953,0.1060,0.0502,0.0149,0.0056,0.0056,white
tile-01-042.jpg,0.2887,0.2376,0.0180,0.9158,0.3475,0.1756,0.0814,0.0362,0.0290,0.0235,0.0199,black
tile-01-043.jpg,0.7363,0.1259,0.0078,0.9316,0.2977,0.1599,0.0937,0.0735,0.0514,0.0294,0.0165,white
tile-01-044.jpg,0.6256,0.0659,0.0097,0.9777,0.1265,0.0584,0.0859,0.1135,0.0486,0.0454,0.0032,clear
tile-01-045.jpg,0.6409,0.0640,0.0087,0.9766,0.1584,0.0621,0.0833,0.0784,0.0392,0.0376,0.0343,clear
tile-01-046.jpg,0.6398,0.0708,0.0100,0.9823,0.1408,0.0820,0.0681,0.0232,0.0449,0.0263,0.0248,clear
tile-01-047.jpg,0.6539,0.0687,0.0096,0.9653,0.2291,0.0861,0.0553,0.0260,0.0553,0.0374,0.0081,clear
tile-01-048.jpg,0.6502,0.0717,0.0066,0.9156,0.2627,0.2150,0.1712,0.0955,0.0796,0.0398,0.0119,clear
tile-01-049.jpg,0.6160,0.0665,0.0085,0.9580,0.2123,0.1053,0.0749,0.0767,0.0981,0.0696,0.0107,clear
tile-01-050.jpg,0.6070,0.0898,0.0120,0.9485,0.2061,0.1332,0.1532,0.1094,0.0657,0.0201,0.0055,clear
tile-01-051.jpg,0.2911,0.2163,0.0187,0.9193,0.3071,0.1804,0.1247,0.0787,0.0672,0.0422,0.0077,black
tile-01-052.jpg,0.6595,0.0713,0.0070,0.9464,0.2730,0.0898,0.0970,0.0790,0.0539,0.0485,0.0287,clear
tile-01-053.jpg,0.6330,0.0975,0.0119,0.8936,0.3363,0.2131,0.1799,0.0978,0.0293,0.0059,0.0039,clear
tile-01-054.jpg,0.6301,0.0850,0.0161,0.9104,0.3454,0.1952,0.0845,0.0601,0.0413,0.0263,0.0263,clear
tile-01-055.jpg,0.6065,0.1035,0.0127,0.9233,0.2922,0.1480,0.1779,0.0861,0.0169,0.0262,0.0150,clear
tile-01-056.jpg,0.2618,0.2072,0.0164,0.9208,0.2946,0.2075,0.1278,0.0704,0.0278,0.0130,0.0056,black
tile-01-057.jpg,0.6188,0.0560,0.0070,0.9884,0.1093,0.0753,0.0384,0.0207,0.0207,0.0473,0.0295,clear
tile-01-058.jpg,0.5741,0.0738,0.0078,0.9794,0.1318,0.1064,0.0905,0.0397,0.0270,0.0206,0.0333,clear
